id,Accident_Latitude,Accident_Longitude,Accident_Type
617,30.78,130.28,﻿衝突（岸壁）
618,35.0485,136.8083,﻿乗揚
619,38.2703,141.5083,﻿衝突
620,33.996667,130.033333,﻿衝突（海中の障害物）
621,44.175,145.11,﻿運航阻害
622,26.928167,127.989167,﻿運航阻害
623,38.1012,138.6185,﻿衝突（水中浮遊物）による乗船者負傷
624,33.8103,129.7537,﻿衝突（岸壁）
625,33.808333,129.755,﻿衝突
626,34.8685,129.3702,﻿衝突（鯨）
627,37.915,139.048,﻿衝突（橋りょう工事施設）
628,37.932833,139.061167,﻿旅客死亡
629,38.256,141.495,﻿安全阻害
630,38.0703,138.7217,﻿運航不能（電源喪失）
631,44.194,145.185,﻿旅客及び乗組員負傷
632,30.43183,130.57667,﻿乗揚
633,37.928333,139.056667,﻿乗組員死亡
634,37.775,139.0117,﻿座洲
635,41.8267,141.6817,﻿火災
636,38.4583,141.5183,﻿衝突
